 time            x1.comp_p       x1.comp_m       dout0           dout1           dout2           dout3           dout4           dout5           dout6           dout7           data_rdy        vinp            vinm           
 7.22354268e-09  9.69954706e-01  9.42830989e-01  3.94559719e-06  3.94708076e-06  3.94708112e-06  3.94708112e-06  3.94708112e-06  3.94708100e-06  3.94411766e-06 -1.45744761e-02  1.29436772e-06  9.00358131e-01  8.99641869e-01 
 8.40631248e-09  9.71485997e-01  9.39013229e-01 -3.91672446e-06 -3.91819300e-06 -3.91819336e-06 -3.91819336e-06 -3.91819336e-06 -3.91819324e-06 -3.91521469e-06  1.46037521e-02 -1.27812575e-06  9.00416770e-01  8.99583230e-01 
 9.84218600e-09  9.67827230e-01  9.37307125e-01  3.91003093e-06  3.91148711e-06  3.91148747e-06  3.91148747e-06  3.91148747e-06  3.91148735e-06  3.90849651e-06 -1.44956548e-02  1.28178980e-06  9.00487958e-01  8.99512042e-01 
 1.16333108e-08  9.67639132e-01  9.36277537e-01 -3.88779630e-06 -3.88924252e-06 -3.88924287e-06 -3.88924287e-06 -3.88924287e-06 -3.88924276e-06 -3.88624216e-06  1.45389775e-02 -1.26788266e-06  9.00576759e-01  8.99423241e-01 
 1.52155603e-08  9.61675960e-01  9.33919994e-01  3.89072591e-06  3.89216717e-06  3.89216753e-06  3.89216753e-06  3.89216753e-06  3.89216741e-06  3.88916200e-06 -1.44530388e-02  1.27494838e-06  9.00754361e-01  8.99245639e-01 
 1.99509173e-08  9.58249463e-01  9.31036206e-01 -3.87649745e-06 -3.87793492e-06 -3.87793528e-06 -3.87793528e-06 -3.87793528e-06 -3.87793516e-06 -3.87492610e-06  1.45137507e-02 -1.26387587e-06  9.00989131e-01  8.99010869e-01 
 2.76282190e-08  9.48929871e-01  9.26709671e-01  3.88285881e-06  3.88429398e-06  3.88429434e-06  3.88429433e-06  3.88429434e-06  3.88429422e-06  3.88128294e-06 -1.44357018e-02  1.27215759e-06  9.01369758e-01  8.98630242e-01 
 3.41338823e-08  9.45191105e-01  9.23653724e-01 -3.86995539e-06 -3.87138779e-06 -3.87138814e-06 -3.87138814e-06 -3.87138814e-06 -3.87138803e-06 -3.86837411e-06  1.44991634e-02 -1.26155441e-06  9.01692297e-01  8.98307703e-01 
 4.13158538e-08  9.37892794e-01  9.20423784e-01  3.87611040e-06  3.87754034e-06  3.87754070e-06  3.87754070e-06  3.87754070e-06  3.87754058e-06  3.87452431e-06 -1.44208440e-02  1.26976237e-06  9.02048366e-01  8.97951634e-01 
 5.13158538e-08  9.33428452e-01  9.16950568e-01 -3.86444490e-06 -3.86587303e-06 -3.86587339e-06 -3.86587339e-06 -3.86587339e-06 -3.86587327e-06 -3.86285529e-06  1.44868860e-02 -1.25959815e-06  9.02544146e-01  8.97455854e-01 
 5.20000000e-08  9.31214980e-01  9.16613814e-01  3.84017789e-06  3.84157990e-06  3.84158026e-06  3.84158026e-06  3.84158026e-06  3.84158013e-06  3.83853779e-06 -1.43418460e-02  1.25698958e-06  9.02578065e-01  8.97421935e-01 
 5.21000000e-08  9.31879726e-01  9.16618735e-01  6.79208152e-08  6.79677761e-08  6.79677758e-08  6.79677758e-08  6.79677756e-08  6.79677807e-08  6.80009031e-08 -1.00255006e-04  2.70254424e-08  9.02583023e-01  8.97416977e-01 
 5.23000000e-08  9.31989792e-01  9.16565417e-01 -5.75885321e-08 -5.76353545e-08 -5.76353546e-08 -5.76353547e-08 -5.76353545e-08 -5.76353597e-08 -5.76632990e-08  9.96302824e-05 -1.74498643e-08  9.02592938e-01  8.97407062e-01 
 5.27000000e-08  9.31608966e-01  9.16425995e-01  6.64798757e-08  6.65266285e-08  6.65266287e-08  6.65266288e-08  6.65266287e-08  6.65266340e-08  6.65520507e-08 -9.91627424e-05  3.00674849e-08  9.02612770e-01  8.97387230e-01 
 5.30000000e-08  9.31573379e-01  9.16337910e-01 -5.65521869e-08 -5.65988244e-08 -5.65988249e-08 -5.65988251e-08 -5.65988249e-08 -5.65988302e-08 -5.66209256e-08  9.84583103e-05 -5.06863989e-08  9.02627643e-01  8.97372357e-01 
 5.30467280e-08  9.31506004e-01  9.16319917e-01  3.97716144e-09  3.97700319e-09  3.97700371e-09  3.97700363e-09  3.97700359e-09  3.97700370e-09  3.97202311e-09  1.73918257e-06  2.13748261e-07  9.02629960e-01  8.97370040e-01 
 5.31401840e-08  9.31432569e-01  9.16288913e-01  5.36242837e-09  5.36282246e-09  5.36282174e-09  5.36282202e-09  5.36282207e-09  5.36282182e-09  5.36736861e-09 -1.88073059e-06 -3.71577500e-07  9.02634593e-01  8.97365407e-01 
 5.33270961e-08  9.31341244e-01  9.16230288e-01  3.98107014e-09  3.98057249e-09  3.98057319e-09  3.98057304e-09  3.98057295e-09  3.98057319e-09  3.97624169e-09  1.90880585e-06  3.97251862e-07  9.02643860e-01  8.97356140e-01 
 5.37009202e-08  9.31128156e-01  9.16111502e-01  5.36205613e-09  5.36259969e-09  5.36259904e-09  5.36259915e-09  5.36259925e-09  5.36259914e-09  5.36681750e-09 -1.90113957e-06 -3.81916797e-07  9.02662393e-01  8.97337607e-01 
 5.43671899e-08  9.30773796e-01  9.15903888e-01  3.98342992e-09  3.98286231e-09  3.98286297e-09  3.98286284e-09  3.98286276e-09  3.98286287e-09  3.97870970e-09  1.90976320e-06  3.85577694e-07  9.02695426e-01  8.97304574e-01 
 5.56997294e-08  9.30055670e-01  9.15494845e-01  5.36008554e-09  5.36066484e-09  5.36066426e-09  5.36066432e-09  5.36066441e-09  5.36066430e-09  5.36478441e-09 -1.89967129e-06 -3.72918220e-07  9.02761490e-01  8.97238510e-01 
 5.83648084e-08  9.28692929e-01  9.14708704e-01  3.98461618e-09  3.98403112e-09  3.98403180e-09  3.98403164e-09  3.98403155e-09  3.98403164e-09  3.97992821e-09  1.90854914e-06  3.80505849e-07  9.02893619e-01  8.97106381e-01 
 6.36949665e-08  9.26151445e-01  9.13247198e-01  5.35944120e-09  5.36002908e-09  5.36002846e-09  5.36002858e-09  5.36002871e-09  5.36002857e-09  5.36412371e-09 -1.89895255e-06 -3.70259257e-07  9.03157877e-01  8.96842123e-01 
